frames,Confidence,Ymin,Xmin,Ymax,Xmax
367,68,1,27,458,217
367,59,1,406,476,599
368,74,12,3,427,170
368,59,1,406,476,599
369,68,1,5,420,155
370,0,0,0,0,0
371,0,0,0,0,0
372,71,1,27,480,234
373,0,0,0,0,0
374,82,1,374,469,570
375,53,18,349,480,545
375,53,1,226,478,467
376,53,1,226,478,467
377,53,1,226,478,467
378,53,1,226,478,467
379,56,1,407,476,615
380,0,0,0,0,0
381,0,0,0,0,0
382,0,0,0,0,0
383,0,0,0,0,0
384,0,0,0,0,0
385,0,0,0,0,0
386,0,0,0,0,0
387,0,0,0,0,0
388,0,0,0,0,0
389,0,0,0,0,0
390,0,0,0,0,0
391,0,0,0,0,0
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
395,0,0,0,0,0
396,0,0,0,0,0
397,0,0,0,0,0
398,0,0,0,0,0
399,0,0,0,0,0
400,0,0,0,0,0
401,0,0,0,0,0
402,0,0,0,0,0
403,0,0,0,0,0
404,0,0,0,0,0
405,0,0,0,0,0
406,0,0,0,0,0
407,0,0,0,0,0
408,0,0,0,0,0
409,0,0,0,0,0
410,0,0,0,0,0
411,0,0,0,0,0
412,0,0,0,0,0
413,0,0,0,0,0
414,0,0,0,0,0
415,0,0,0,0,0
416,0,0,0,0,0
417,0,0,0,0,0
418,0,0,0,0,0
419,0,0,0,0,0
420,0,0,0,0,0
421,0,0,0,0,0
422,0,0,0,0,0
423,66,1,410,476,607
424,0,0,0,0,0
425,53,1,343,462,525
426,59,1,72,471,254
427,0,0,0,0,0
428,0,0,0,0,0
429,0,0,0,0,0
430,0,0,0,0,0
431,0,0,0,0,0
432,0,0,0,0,0
433,0,0,0,0,0
434,0,0,0,0,0
435,0,0,0,0,0
436,0,0,0,0,0
437,56,30,103,446,282
438,66,30,82,452,297
439,0,0,0,0,0
440,59,55,216,471,356
441,53,56,125,464,277
442,59,49,104,464,271
443,0,0,0,0,0
444,59,38,62,468,289
445,0,0,0,0,0
446,56,23,119,468,283
447,0,0,0,0,0
448,59,22,82,436,317
449,74,17,42,447,313
450,59,15,45,461,293
451,56,19,60,457,295
452,59,23,76,453,295
453,78,22,68,460,303
454,62,19,59,457,303
455,71,24,57,446,310
456,56,19,72,457,316
457,66,27,70,449,309
458,74,28,70,442,289
459,76,20,53,450,306
460,68,34,68,442,291
461,56,34,98,457,281
462,62,23,57,453,301
463,59,27,53,449,297
464,66,25,76,439,299
465,71,21,70,443,313
466,66,15,99,430,300
467,74,24,45,446,293
468,68,20,56,450,291
469,71,25,49,439,293
470,74,25,38,439,296
471,68,25,54,433,289
472,68,25,43,433,287
473,74,22,32,430,290
474,71,10,13,466,306
475,71,18,35,433,287
476,68,18,39,433,283
477,66,10,13,466,258
478,68,10,14,458,268
479,0,0,0,0,0
480,53,11,10,441,194
481,0,0,0,0,0
482,59,8,17,459,244
483,62,10,13,466,254
484,0,0,0,0,0
485,59,38,75,453,274
486,0,0,0,0,0
487,0,0,0,0,0
488,0,0,0,0,0
489,0,0,0,0,0
490,0,0,0,0,0
491,0,0,0,0,0
492,53,1,486,456,592
493,56,25,15,439,189
494,62,25,11,439,185
495,59,18,10,433,186
496,56,22,10,430,178
497,68,11,10,441,174
498,56,12,12,427,176
499,59,15,10,430,174
500,66,12,10,434,174
501,68,15,8,430,176
502,0,0,0,0,0
503,56,30,1,416,171
504,0,0,0,0,0
505,0,0,0,0,0
506,53,33,5,419,175
507,59,33,2,412,173
508,66,23,1,423,171
509,0,0,0,0,0
510,53,45,1,425,180
511,62,10,21,450,219
512,56,7,21,450,197
513,62,6,16,441,206
514,59,2,17,445,197
515,62,2,14,445,200
516,66,7,12,450,202
517,62,2,13,445,193
518,0,0,0,0,0
519,0,0,0,0,0
520,66,3,14,454,200
521,53,17,12,459,189
522,53,2,17,445,197
523,66,1,13,458,196
524,53,8,13,459,196
525,53,1,13,458,193
526,0,0,0,0,0
527,0,0,0,0,0
528,62,12,2,434,173
529,59,1,488,475,592
530,56,1,489,466,591
531,56,1,494,455,603
532,0,0,0,0,0
533,59,14,8,414,188
534,59,1,496,435,603
535,0,0,0,0,0
536,62,1,21,428,197
536,59,1,485,429,584
537,56,7,11,414,181
538,59,1,14,365,161
538,59,1,485,427,583
539,59,6,10,421,174
539,56,1,486,450,585
540,74,1,20,449,203
541,0,0,0,0,0
542,62,16,5,423,175
543,59,13,5,420,175
544,53,12,3,427,177
545,0,0,0,0,0
546,53,1,19,440,186
547,56,6,24,441,194
548,66,7,11,450,198
549,62,7,13,450,193
550,56,3,14,454,191
551,0,0,0,0,0
552,62,99,17,479,165
552,59,5,29,480,202
553,56,5,24,480,194
553,59,5,29,480,202
554,71,5,13,480,193
554,59,5,29,480,202
555,53,1,22,476,205
556,0,0,0,0,0
557,62,2,247,474,467
558,0,0,0,0,0
559,66,1,411,476,598
560,66,1,392,471,600
561,0,0,0,0,0
562,0,0,0,0,0
563,0,0,0,0,0
564,0,0,0,0,0
565,0,0,0,0,0
566,0,0,0,0,0
567,0,0,0,0,0
568,59,1,220,478,457
569,59,1,225,480,452
570,68,1,207,478,444
571,0,0,0,0,0
572,53,1,235,478,426
573,56,1,246,474,379
574,0,0,0,0,0
575,62,1,252,478,413
576,0,0,0,0,0
577,53,1,238,480,431
578,59,1,252,480,399
579,0,0,0,0,0
580,0,0,0,0,0
581,0,0,0,0,0
582,0,0,0,0,0
583,0,0,0,0,0
584,0,0,0,0,0
585,0,0,0,0,0
586,0,0,0,0,0
587,0,0,0,0,0
588,0,0,0,0,0
589,0,0,0,0,0
590,0,0,0,0,0
591,0,0,0,0,0
592,0,0,0,0,0
593,0,0,0,0,0
594,0,0,0,0,0
595,0,0,0,0,0
596,0,0,0,0,0
597,0,0,0,0,0
598,0,0,0,0,0
599,0,0,0,0,0
600,0,0,0,0,0
601,0,0,0,0,0
602,0,0,0,0,0
603,0,0,0,0,0
604,0,0,0,0,0
605,0,0,0,0,0
606,0,0,0,0,0
607,0,0,0,0,0
608,0,0,0,0,0
609,0,0,0,0,0
610,0,0,0,0,0
611,0,0,0,0,0
612,0,0,0,0,0
613,0,0,0,0,0
614,0,0,0,0,0
615,0,0,0,0,0
616,0,0,0,0,0
617,0,0,0,0,0
618,0,0,0,0,0
619,0,0,0,0,0
620,0,0,0,0,0
621,0,0,0,0,0
622,0,0,0,0,0
623,0,0,0,0,0
624,0,0,0,0,0
625,0,0,0,0,0
626,0,0,0,0,0
627,0,0,0,0,0
628,0,0,0,0,0
629,0,0,0,0,0
630,0,0,0,0,0
631,0,0,0,0,0
632,0,0,0,0,0
633,0,0,0,0,0
634,0,0,0,0,0
635,0,0,0,0,0
636,0,0,0,0,0
637,0,0,0,0,0
638,0,0,0,0,0
639,0,0,0,0,0
640,0,0,0,0,0
641,0,0,0,0,0
642,0,0,0,0,0
643,0,0,0,0,0
644,0,0,0,0,0
645,0,0,0,0,0
646,0,0,0,0,0
647,0,0,0,0,0
648,0,0,0,0,0
649,0,0,0,0,0
650,0,0,0,0,0
651,0,0,0,0,0
652,0,0,0,0,0
653,0,0,0,0,0
654,0,0,0,0,0
655,0,0,0,0,0
656,0,0,0,0,0
657,0,0,0,0,0
658,0,0,0,0,0
659,0,0,0,0,0
660,0,0,0,0,0
661,0,0,0,0,0
662,0,0,0,0,0
663,0,0,0,0,0
664,0,0,0,0,0
665,0,0,0,0,0
666,0,0,0,0,0
667,0,0,0,0,0
668,0,0,0,0,0
669,0,0,0,0,0
670,0,0,0,0,0
671,0,0,0,0,0
672,0,0,0,0,0
673,0,0,0,0,0
674,0,0,0,0,0
675,0,0,0,0,0
676,0,0,0,0,0
677,0,0,0,0,0
678,0,0,0,0,0
679,0,0,0,0,0
680,0,0,0,0,0
681,66,1,178,478,415
682,0,0,0,0,0
683,0,0,0,0,0
684,0,0,0,0,0
685,0,0,0,0,0
686,76,1,233,476,449
687,0,0,0,0,0
688,59,1,443,476,617
689,0,0,0,0,0
690,56,10,32,480,223
691,0,0,0,0,0
692,0,0,0,0,0
693,0,0,0,0,0
694,0,0,0,0,0
695,0,0,0,0,0
696,0,0,0,0,0
697,59,1,221,466,414
698,71,1,21,476,214
699,0,0,0,0,0
700,0,0,0,0,0
701,0,0,0,0,0
702,0,0,0,0,0
703,0,0,0,0,0
704,0,0,0,0,0
705,0,0,0,0,0
706,0,0,0,0,0
707,0,0,0,0,0
708,0,0,0,0,0
709,0,0,0,0,0
710,0,0,0,0,0
711,0,0,0,0,0
712,0,0,0,0,0
713,0,0,0,0,0
714,0,0,0,0,0
715,56,19,255,442,416
716,0,0,0,0,0
717,0,0,0,0,0
718,0,0,0,0,0
719,0,0,0,0,0
720,53,1,240,477,404
721,53,1,240,477,404
722,0,0,0,0,0
723,0,0,0,0,0
724,0,0,0,0,0
725,0,0,0,0,0
726,0,0,0,0,0
727,0,0,0,0,0
728,0,0,0,0,0
729,0,0,0,0,0
730,0,0,0,0,0
731,0,0,0,0,0
732,0,0,0,0,0
733,0,0,0,0,0
734,0,0,0,0,0
735,0,0,0,0,0
736,0,0,0,0,0
737,0,0,0,0,0
738,0,0,0,0,0
739,0,0,0,0,0
740,0,0,0,0,0
741,0,0,0,0,0
742,0,0,0,0,0
743,0,0,0,0,0
744,0,0,0,0,0
745,59,14,116,476,269
