                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2702,                 2.6862,                 3.1722,                0.01417,                0.97368,                0.72477,                0.35575,                 2.1635,                 2.9683,                 3.4857,              0.0011024,              0.0011024,              0.0011024
                     36,                 2.4261,                 2.7112,                 3.2079,                0.01238,                      1,                0.71818,                0.26917,                 2.3615,                   2.98,                 3.7242,               0.001076,               0.001076,               0.001076
                     37,                 2.2893,                 2.7615,                 3.1736,                0.01238,                      1,                0.71818,                0.26917,                 2.3615,                   2.98,                 3.7242,              0.0010496,              0.0010496,              0.0010496
                     38,                 2.2446,                 2.6578,                 3.0424,                0.00298,                      1,                0.66315,                 0.2745,                 2.2651,                 2.9143,                 3.6782,              0.0010232,              0.0010232,              0.0010232
                     39,                 2.2622,                 2.6779,                 3.0622,                0.01505,                0.97368,                0.77945,                0.35247,                 2.1179,                 2.8403,                 3.4202,              0.0009968,              0.0009968,              0.0009968
                     40,                 2.1224,                 2.6013,                 3.0185,                0.00741,                      1,                0.59513,                0.21837,                 2.0226,                 2.7681,                 3.3806,              0.0009704,              0.0009704,              0.0009704
                     41,                 2.0689,                 2.5514,                  2.956,                0.00741,                      1,                0.59513,                0.21837,                 2.0226,                 2.7681,                 3.3806,               0.000944,               0.000944,               0.000944
                     42,                 2.1192,                 2.5525,                 2.8957,                0.10903,                0.86842,                0.65719,                0.32338,                 1.9938,                 2.6609,                 3.2794,              0.0009176,              0.0009176,              0.0009176
                     43,                 2.1458,                 2.6641,                 2.9224,                0.68673,                0.68421,                0.61937,                0.31419,                 2.0141,                 2.7156,                 3.1654,              0.0008912,              0.0008912,              0.0008912
                     44,                 2.1452,                 2.6466,                 2.9812,                0.65716,                0.73684,                0.63054,                0.33033,                 2.0424,                 3.0032,                 3.1734,              0.0008648,              0.0008648,              0.0008648
                     45,                 2.1297,                 2.4955,                 2.8792,                0.65716,                0.73684,                0.63054,                0.33033,                 2.0424,                 3.0032,                 3.1734,              0.0008384,              0.0008384,              0.0008384
                     46,                 2.1831,                 2.4765,                 2.8959,                 0.7155,                0.73684,                0.72024,                0.42093,                 2.0258,                 2.7277,                 3.1725,               0.000812,               0.000812,               0.000812
                     47,                 2.1115,                 2.5053,                 2.8663,                 0.3168,                0.76316,                0.34601,                0.18279,                 2.0111,                 2.6602,                 3.0697,              0.0007856,              0.0007856,              0.0007856
                     48,                 2.0398,                 2.4316,                 2.7968,                0.10783,                0.23684,                0.12736,                0.05925,                 1.9105,                 2.9109,                 2.9182,              0.0007592,              0.0007592,              0.0007592
                     49,                 2.0111,                 2.4064,                 2.7808,                0.10783,                0.23684,                0.12736,                0.05925,                 1.9105,                 2.9109,                 2.9182,              0.0007328,              0.0007328,              0.0007328
                     50,                 2.0253,                 2.4449,                 2.7509,                0.33874,                0.23684,                0.30435,                0.11143,                 1.8479,                 2.7848,                 2.9576,              0.0007064,              0.0007064,              0.0007064
                     51,                 1.9658,                 2.4219,                 2.7757,                0.53467,                0.36302,                0.40426,                0.17443,                 1.9077,                  2.632,                 3.2668,                0.00068,                0.00068,                0.00068
                     52,                 1.9277,                 2.3638,                 2.7563,                0.76265,                0.57895,                0.62162,                0.36356,                 1.9387,                 2.3245,                 3.2225,              0.0006536,              0.0006536,              0.0006536
                     53,                 1.9775,                 2.4618,                 2.8241,                0.76265,                0.57895,                0.62162,                0.36356,                 1.9387,                 2.3245,                 3.2225,              0.0006272,              0.0006272,              0.0006272
