                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.52078,                0.81201,                 1.1764,                0.80542,                 0.7439,                0.80598,                 0.6277,                0.68541,                 1.3499,                 1.3621,              0.0011024,              0.0011024,              0.0011024
                     36,                0.45341,                0.71722,                 1.0859,                0.78235,                0.70732,                0.77281,                0.57601,                0.74905,                  1.434,                 1.4355,               0.001076,               0.001076,               0.001076
                     37,                0.52676,                0.82777,                 1.1918,                0.66985,                0.76706,                0.75438,                0.59477,                0.72515,                 1.4304,                 1.4054,              0.0010496,              0.0010496,              0.0010496
                     38,                0.47556,                0.79079,                 1.1119,                0.70816,                 0.7439,                0.76951,                0.66924,                 0.6071,                 1.3247,                 1.3205,              0.0010232,              0.0010232,              0.0010232
                     39,                0.49057,                0.73495,                 1.1799,                0.69896,                0.85366,                0.80995,                0.68053,                0.61478,                 1.3374,                  1.341,              0.0009968,              0.0009968,              0.0009968
                     40,                0.45057,                 0.7401,                 1.1135,                0.71451,                0.80488,                0.80364,                0.68547,                0.56718,                 1.3003,                 1.2716,              0.0009704,              0.0009704,              0.0009704
                     41,                0.43559,                0.73261,                 1.0932,                0.72001,                0.75267,                0.79571,                0.70707,                0.57991,                 1.2226,                 1.2644,               0.000944,               0.000944,               0.000944
                     42,                0.44468,                0.69229,                 1.0921,                0.79636,                0.76829,                0.85552,                0.75544,                0.58226,                 1.1346,                  1.277,              0.0009176,              0.0009176,              0.0009176
                     43,                0.44355,                0.68967,                 1.0688,                0.85795,                 0.7561,                0.84269,                0.75105,                0.56093,                 1.1297,                 1.2921,              0.0008912,              0.0008912,              0.0008912
                     44,                0.42021,                0.64099,                 1.0871,                 0.8798,                0.80337,                0.87194,                0.80608,                0.59097,                 1.1106,                 1.3111,              0.0008648,              0.0008648,              0.0008648
                     45,                0.48468,                0.76938,                 1.1478,                0.88516,                0.82927,                0.87106,                0.81239,                 0.5802,                 1.1175,                  1.287,              0.0008384,              0.0008384,              0.0008384
                     46,                0.45204,                0.62503,                 1.1118,                0.81837,                0.87915,                0.85689,                0.79405,                0.45695,                0.95869,                 1.1854,               0.000812,               0.000812,               0.000812
                     47,                0.46988,                 0.7378,                 1.1269,                0.83175,                0.84406,                0.87277,                0.80992,                0.46916,                0.92515,                 1.1773,              0.0007856,              0.0007856,              0.0007856
                     48,                0.40455,                0.61187,                  1.046,                 0.9354,                0.81707,                0.89253,                0.81256,                0.51558,                0.90576,                 1.1637,              0.0007592,              0.0007592,              0.0007592
                     49,                0.44072,                0.68032,                 1.0747,                0.89242,                0.80488,                0.89847,                 0.8202,                0.50833,                0.89806,                 1.1532,              0.0007328,              0.0007328,              0.0007328
                     50,                 0.3908,                0.63713,                 1.0515,                0.88761,                0.89024,                 0.9201,                0.85513,                0.42013,                0.77287,                 1.0637,              0.0007064,              0.0007064,              0.0007064
                     51,                0.41788,                0.65573,                 1.0636,                0.90269,                0.82927,                0.91701,                0.85351,                0.41356,                0.73814,                 1.0465,                0.00068,                0.00068,                0.00068
                     52,                0.43825,                0.61888,                 1.1079,                0.92325,                0.80488,                0.91873,                  0.868,                0.39725,                0.75525,                 1.0451,              0.0006536,              0.0006536,              0.0006536
                     53,                0.39324,                 0.6566,                 1.0533,                0.91522,                0.78992,                 0.9081,                0.84032,                0.42764,                0.82065,                 1.0693,              0.0006272,              0.0006272,              0.0006272
                     54,                0.41399,                0.61695,                 1.0869,                0.88902,                0.82927,                0.91394,                0.82949,                0.45038,                0.85408,                 1.0649,              0.0006008,              0.0006008,              0.0006008
                     55,                0.38595,                0.62088,                 1.0334,                0.89143,                0.90121,                0.93891,                0.86631,                0.40803,                0.71695,                 1.0058,              0.0005744,              0.0005744,              0.0005744
